id,url_list,attribute,value
0,http://images.voonik.com/5846258/mustard-dual-shaded-embroidered-top-1-original.jpg?1491161301,pattern_type,tie and dye
1,http://images.voonik.com/98396551/5337304_1-original.jpg?1482358593,pattern_type,tie and dye
2,http://images.voonik.com/30681121/5328680_1-original.jpg?1482357527,pattern_type,tie and dye
3,http://images.voonik.com/1767215/AY-KR-TCS2-1348_(1)-original.jpg?1471733882,pattern_type,tie and dye
4,http://images.voonik.com/92591021/5276635_1-original.jpg?1482355296,pattern_type,tie and dye
5,http://images.voonik.com/94399202/american-elm-multicoloured-half-sleeve-womens-tunic-original.jpg?1491173512,pattern_type,tie and dye
6,http://images.voonik.com/03350712/campus-sutra-womens-top-99a9b9d2-original.jpg?1496317147,pattern_type,tie and dye
7,http://images.voonik.com/54908011/high-street-fashion-style-womens-poly-georgette-kaf-original.jpg?1491168911,pattern_type,tie and dye
8,http://images.voonik.com/48662361/tunic-nation-women-s-a-line-poly-gerogette-kurti--2-original.jpg?1487961514,pattern_type,tie and dye
9,http://images.voonik.com/66720651/4687196_1-original.jpg?1482343283,pattern_type,tie and dye
10,http://images.voonik.com/58737712/campus-sutra-womens-top-0aad0805-original.jpg?1496403109,pattern_type,tie and dye
11,http://images.voonik.com/35784631/chiffon-ombre-top-original.jpg?1491175553,pattern_type,tie and dye
12,http://images.voonik.com/80335971/qurvii-plus-size-pink-printed-v-neck-tunic-original.jpg?1491169075,pattern_type,tie and dye
13,http://images.voonik.com/48335971/qurvii-plus-size-yellow-print-v-neck-top-original.jpg?1483705548,pattern_type,tie and dye
14,http://images.voonik.com/33355681/7775855_1-original.jpg?1493359711,pattern_type,tie and dye
15,http://images.voonik.com/25961651/6658118_1-original.jpg?1483555741,pattern_type,tie and dye
16,http://images.voonik.com/39737712/campus-sutra-womens-top-f3484b29-original.jpg?1496403114,pattern_type,tie and dye
17,http://images.voonik.com/22837712/campus-sutra-womens-top-ba8705ae-original.jpg?1496403131,pattern_type,tie and dye
18,http://images.voonik.com/80578712/campus-sutra-women-regular-top-ffc13582-original.jpg?1496651937,pattern_type,tie and dye
19,http://images.voonik.com/80405522/bronze-georgette-net-top-bronze-4218654d-original.jpg?1503129395,pattern_type,tie and dye
20,http://images.voonik.com/80349102/b-kind-womens-red-poly-cotton-burnt-wash-top-original.jpg?1488374714,pattern_type,tie and dye
21,http://images.voonik.com/40697412/entease-white-viscose-tops-bc91c461-original.jpg?1494331703,pattern_type,tie and dye
22,http://images.voonik.com/82597412/entease-green-viscose-tops-f9ef6286-original.jpg?1494331579,pattern_type,tie and dye
23,http://images.voonik.com/8397946/AWWL1047-FRONT-original.?1478103047,pattern_type,tie and dye
24,http://images.voonik.com/23052711/5101603_1-original.jpg?1482351640,pattern_type,tie and dye
25,http://images.voonik.com/64308011/high-street-fashion-style-womens-poly-georgette-kaf-original.jpg?1491175676,pattern_type,tie and dye
26,http://images.voonik.com/31708711/5133699_1-original.jpg?1482352376,pattern_type,tie and dye
27,http://images.voonik.com/44808711/5133750_1-original.jpg?1482352437,pattern_type,tie and dye
28,http://images.voonik.com/49430181/rpj-womens-red-top-original.jpg?1491184403,pattern_type,tie and dye
29,http://images.voonik.com/05756211/high-street-fashion-style-womens-poly-georgette-kaf-original.jpg?1491262579,pattern_type,tie and dye
30,http://images.voonik.com/64733301/forever9teen-printed-top-1-original.jpg?1491164018,pattern_type,tie and dye
31,http://images.voonik.com/27784631/chiffon-ombre-top-1-original.jpg?1491177057,pattern_type,tie and dye
32,http://images.voonik.com/02932601/4632102_1-original.jpg?1482342900,pattern_type,tie and dye
33,http://images.voonik.com/68845302/georgette-crop-top-with-inner-stitched-2-original.jpg?1491173010,pattern_type,tie and dye
34,http://images.voonik.com/03708711/5133704_1-original.jpg?1482352389,pattern_type,tie and dye
35,http://images.voonik.com/50808711/5133735_1-original.jpg?1482352428,pattern_type,tie and dye
36,http://images.voonik.com/46335971/qurvii-plus-size-gray-print-round-top-original.jpg?1483705526,pattern_type,tie and dye
37,http://images.voonik.com/06869891/leo-sansini-printed-tank-top-2-original.jpg?1487739455,pattern_type,tie and dye
38,http://images.voonik.com/38747981/gudi-white-full-sleeve-casual-top-original.jpg?1491177213,pattern_type,tie and dye
39,http://images.voonik.com/96625112/IMAESVXUHJYPD8PD-original.jpg?1492083411,pattern_type,tie and dye
40,http://images.voonik.com/36625112/IMAESVXZJQHZ4AES-original.jpg?1492083395,pattern_type,tie and dye
41,http://images.voonik.com/12751691/multi-colour-printed-top-2-original.jpg?1491258100,pattern_type,tie and dye
42,http://images.voonik.com/83990261/entease-white-viscose-top-original.jpg?1491171867,pattern_type,tie and dye
43,http://images.voonik.com/3834866/2662014_1-original.JPG?1499251885,pattern_type,tie and dye
44,http://images.voonik.com/95349312/OM420A-1-original.jpg?1493797917,pattern_type,tie and dye
45,http://images.voonik.com/45056011/4841624_1-original.jpg?1482345460,pattern_type,tie and dye
46,http://images.voonik.com/60230201/4457881_1-original.jpg?1482340901,pattern_type,tie and dye
47,http://images.voonik.com/01094702/8648269_1-original.jpg?1499282711,pattern_type,tie and dye
48,http://images.voonik.com/83388681/ahalyaa-gold-colored-half-sleeve-and-off-shoulder-g-original.jpg?1491183400,pattern_type,tie and dye
49,http://images.voonik.com/66863212/Topclouesneck-2-original.jpg?1492765454,pattern_type,tie and dye
50,http://images.voonik.com/74701802/famous-by-payal-kapoor-blue-off-shoulder-top-1-original.jpg?1491252977,pattern_type,tie and dye
51,http://images.voonik.com/7335764/1506643_1-original.jpg?1482158941,pattern_type,tie and dye
52,http://images.voonik.com/49354602/8611489_1-original.jpg?1493360894,pattern_type,tie and dye
53,http://images.voonik.com/88733101/4427514_1-original.jpg?1482691301,pattern_type,tie and dye
54,http://images.voonik.com/56567902/hope-and-luck-purple-sleeveless-round-neck-printed--original.jpg?1491042370,pattern_type,tie and dye
55,http://images.voonik.com/4560589/3763618_1-original.jpg?1482170173,pattern_type,tie and dye
56,http://images.voonik.com/95121641/blue-floral-print-off-shoulder-top-original.jpg?1472566490,pattern_type,tie and dye
57,http://images.voonik.com/24350712/campus-sutra-womens-top-761fdd72-original.jpg?1496317149,pattern_type,tie and dye
58,http://images.voonik.com/90557251/amadore-causal-printed-multi-color-cotton-top-original.jpg?1474550754,pattern_type,tie and dye
59,http://images.voonik.com/84752401/4556974_1-original.jpg?1482341900,pattern_type,tie and dye
60,http://images.voonik.com/60806241/side-slit-casual-chic-ombrey-tunic-original.jpg?1491167297,pattern_type,tie and dye
61,http://images.voonik.com/02060751/carrel-imported-stretchable-lycra-fabric-round-neck-original.jpg?1491181215,pattern_type,tie and dye
62,http://images.voonik.com/76282461/one-femme-womens-blue-floral-print-padded-string-to-original.jpg?1491176098,pattern_type,tie and dye
